Word,Val,AbsVal,Sent,AbsSent,DominantModality
sunny,5.931320132,1.069463838,0.366020134,0.571214588,Sight
sweaty,5.453203883,1.09066436,0.115298507,0.527757547,Smell
sweet,5.681452671,1.170262758,0.237406452,0.647960889,Taste
swift,5.248944282,1.059052399,0.012349112,0.605774776,Sight
swinging,5.463868613,0.820224271,0.223940741,0.442790187,Sight
tall,5.5425,0.852785801,0.163086614,0.55195898,Sight
tangerine,5.902564103,1.116705658,0.577333333,0.687245573,Sight
tangy,5.876625,1.07847067,0.563788235,0.830056111,Taste
tapering,5.485172414,0.60896517,0.124241379,0.419897093,Sight
tart,5.990337079,1.209947611,0.428849462,0.709952146,Taste
tasteless,5.661060606,1.089008972,0.015242424,0.750545455,Taste
tasty,5.894336735,1.117012917,0.481465347,0.71510554,Taste
tender,5.712243437,1.13440756,0.289879012,0.682746506,Touch
tepid,5.940707071,1.267179042,0.35543299,0.741623899,Touch
thorny,5.458902439,0.98477452,0.037209877,0.556272574,Touch
thudding,4.881333333,1.362410205,0.253357143,0.542930815,Sound
thumping,5.002413793,1.092095357,0.185733333,0.649404188,Sound
thunderous,5.203923077,1.123603455,0.106540323,0.603171128,Sound
ticklish,5.367419355,0.822332132,-0.0604375,0.474496074,Touch
tight,5.378703704,0.75882593,0.055315589,0.531305436,Touch
tinkling,6.292962963,1.515611876,0.549466667,0.600540662,Sound
tiny,5.37049417,0.901232817,0.204778036,0.60715513,Sight
tough,5.355045872,0.932766152,-0.023501699,0.545038517,Touch
translucent,5.597755102,0.904458043,0.322663102,0.583639639,Sight
transparent,5.49226506,0.862375933,0.064519802,0.564797185,Sight
triangular,5.473554502,0.739806418,0.136162437,0.456692348,Sight
ugly,5.146509972,1.082317404,-0.01544919,0.565952247,Sight
uneven,5.636811594,0.872340733,0.100157895,0.534096665,Sight
unpalatable,5.535185185,1.118233188,-0.113962963,0.444034129,Taste
unripe,6.737,1.673153072,0.767166667,1.074841185,Sight
vegetal,5.915652174,0.995752004,0.746043478,0.867964032,Sight
vinegary,6.248095238,1.53904714,0.434545455,0.680369347,Taste
vivid,5.823141892,1.066446988,0.056786942,0.596107231,Sight
wailing,5.548043478,1.300350935,0.074711111,0.563155207,Sound
warbling,5.17,0.893286643,0.348083333,0.557585951,Sound
warm,5.774844398,1.061902707,0.375366701,0.675182277,Touch
waxy,5.73527027,0.987639831,0.389679487,0.567326553,Touch
weak,5.453759178,0.930084439,-0.045140762,0.630720118,Sight
weightless,5.756875,1.074879469,0.471691176,0.780638819,Touch
wet,5.415122898,0.894773336,0.199112113,0.566535373,Touch
whimpering,4.9045,1.5575,-0.352045455,0.615036889,Sound
whining,5.29097561,1.009455702,-0.056097561,0.616146724,Sound
whispering,5.8955,1.115191843,0.033121951,0.635998851,Sound
whistling,5.827142857,1.086373184,0.235384615,0.588152638,Sound
white,5.353693765,0.938191723,0.131610348,0.656168893,Sight
wide,5.450415677,0.824700038,0.096359509,0.588883461,Sight
wiry,5.665333333,0.832443997,0.078242424,0.542486911,Sight
wispy,5.67872093,0.981546992,0.135094118,0.628858639,Sight
wizened,5.733333333,1.133247399,0.099627907,0.568882625,Sight
woolly,5.503770492,0.857805458,0.267328358,0.485987653,Touch
yellow,5.451604376,0.891756232,0.252861261,0.639369331,Sight
